length_context,length_question,length_entities,entity_num,correct
564,15,14,3,1
417,14,28,22,0
746,13,25,14,0
923,14,31,27,0
127,17,10,0,0
602,13,19,2,1
770,9,27,4,1
1070,23,36,18,0
571,8,9,0,1
421,17,12,60,0
394,8,25,48,0
696,15,19,2,1
314,20,12,18,0
1353,16,25,24,1
1234,10,48,48,0
1606,15,53,235,0
564,7,14,10,1
417,11,15,6,1
1123,10,92,153,0
703,10,26,9,0
191,15,11,20,0
1123,9,92,1,1
422,10,13,7,0
223,16,16,8,0
1718,8,81,40,0
1106,8,56,18,0
496,10,22,12,0
350,16,15,15,0
1443,14,40,44,0
225,10,8,6,0
996,14,19,1,1
1142,28,36,23,0
1240,10,57,3,1
1098,23,22,38,0
933,9,20,15,1
206,9,7,28,0
511,15,16,4,1
1256,12,29,16,0
854,15,35,11,0
237,11,17,8,0
382,10,21,2,0
1614,16,32,5,1
256,11,25,8,0
393,12,17,6,1
254,14,18,2,1
343,14,13,24,0
1034,10,51,16,1
165,11,14,8,1
699,11,25,3,0
519,8,21,0,1
445,11,23,17,0
380,13,17,2,1
316,8,13,33,0
350,11,15,1,1
236,37,11,22,0
264,13,7,13,0
1446,12,46,59,0
1197,14,44,0,1
301,10,12,5,1
637,15,25,1,1
1940,14,75,211,0
437,10,37,80,0
393,16,17,12,1
264,13,7,17,0
1706,18,38,49,0
1070,10,46,18,0
896,24,15,4,0
513,12,26,1,0
655,18,25,30,0
1390,20,24,159,0
580,7,19,14,0
326,11,9,7,1
760,15,26,109,0
655,20,25,35,0
625,12,18,30,0
773,11,33,47,0
1112,20,25,2,1
413,16,22,26,0
636,11,20,27,0
1240,10,57,4,0
1527,6,54,22,0
226,16,14,20,0
988,11,25,25,0
580,12,15,12,1
920,10,17,7,1
869,13,45,28,0
810,11,18,13,1
321,23,26,37,0
1209,23,40,9,1
285,15,19,0,1
1087,10,46,36,0
202,15,9,3,1
221,15,4,1,1
200,17,15,18,0
1891,14,33,62,0
932,10,54,62,0
577,9,13,1,1
236,13,9,4,1
229,8,10,8,0
719,16,29,72,0
772,18,21,12,0
730,12,17,0,0
1086,18,54,3,1
655,11,32,7,0
651,12,16,30,0
875,22,24,7,1
256,11,25,6,0
558,18,24,4,1
542,14,8,16,0
682,17,13,21,0
922,7,26,9,1
223,16,16,0,1
923,11,31,14,0
1831,11,45,0,1
159,6,13,16,0
1204,29,29,0,1
501,19,23,8,1
689,8,19,59,0
1393,11,61,70,0
1258,11,32,8,1
486,18,23,7,0
487,13,28,6,1
601,15,21,77,0
374,15,34,2,1
298,8,17,4,1
399,10,11,12,0
896,10,15,13,0
811,16,19,17,0
788,11,31,112,0
501,12,15,12,0
1339,9,36,154,0
1186,17,25,20,0
1067,17,32,21,1
670,12,17,46,0
1114,9,24,5,0
1177,16,41,26,0
501,15,15,10,1
374,9,21,0,1
608,13,15,3,1
666,9,24,5,1
635,10,16,4,1
150,12,12,25,0
294,15,18,0,1
1303,17,32,16,0
988,17,25,3,0
441,10,30,3,1
557,12,21,2,1
1919,16,57,1,1
939,13,41,2,1
1006,17,27,23,1
1095,28,40,143,0
744,12,37,88,0
1129,19,41,32,0
165,13,14,4,1
197,12,20,7,1
662,12,42,7,0
298,11,16,13,0
538,18,37,4,0
300,17,11,4,1
210,12,16,39,0
1643,13,39,2,1
719,15,24,8,0
195,17,14,17,0
349,11,12,19,0
851,13,36,32,0
1777,21,28,5,1
576,9,29,0,1
383,14,14,25,0
428,20,23,5,1
526,10,26,6,1
638,8,35,0,1
729,11,25,2,1
319,9,8,0,0
417,14,28,25,0
1614,19,32,0,1
582,10,7,3,1
430,11,18,3,0
144,8,8,2,0
950,14,37,0,0
1479,14,30,18,0
770,9,27,7,0
316,8,13,0,1
787,20,33,24,0
1186,8,25,3,1
1718,6,81,15,0
231,7,21,0,1
1464,11,44,12,1
538,11,37,24,0
821,15,25,11,1
966,9,13,3,1
422,14,17,10,0
510,15,21,1,0
343,12,25,11,0
1039,8,31,1,1
708,10,30,54,0
564,9,28,10,1
485,12,12,0,1
1600,8,31,6,1
254,14,18,3,1
279,9,28,0,1
1209,23,40,1,0
994,11,20,29,0
1353,21,25,48,0
588,16,15,13,1
1082,15,21,5,1
280,11,12,1,0
923,11,18,13,1
1209,15,40,7,1
1186,15,75,9,1
742,13,17,29,0
682,13,17,15,1
266,17,17,2,0
354,15,22,44,0
1106,25,28,4,1
1775,19,57,35,0
754,13,10,16,1
637,19,25,23,0
303,11,10,0,1
653,12,22,17,0
625,12,18,27,0
410,12,23,8,1
996,10,44,61,0
837,20,14,7,0
302,10,9,0,1
231,7,20,38,0
950,12,26,128,0
575,8,40,12,1
357,13,14,2,0
231,9,20,15,1
395,12,16,0,0
460,11,11,5,1
1006,17,27,8,0
379,16,22,11,1
798,18,16,1,0
856,14,42,161,0
423,11,16,0,1
415,16,11,7,0
535,20,13,3,1
733,20,22,33,0
510,16,21,21,0
754,17,22,2,1
1114,9,24,4,1
1120,7,25,0,0
463,16,32,15,0
864,11,24,25,0
681,16,24,23,0
195,12,14,13,0
1033,16,32,7,1
280,11,15,9,0
391,10,21,1,0
746,14,14,23,0
1351,15,43,2,1
875,12,38,13,0
423,12,24,30,0
441,17,20,2,1
681,14,24,6,0
413,12,52,7,0
864,11,24,28,0
557,12,21,31,1
198,17,15,33,0
594,15,22,4,1
288,9,18,1,1
1172,10,18,18,0
1095,28,40,136,0
728,10,32,7,1
1393,11,61,26,0
653,21,22,14,0
640,10,33,6,0
849,13,43,20,0
445,11,23,18,1
379,12,16,40,0
437,10,37,30,0
298,11,16,12,0
418,8,9,13,0
1476,8,26,20,0
127,17,10,12,0
478,23,19,35,0
1243,19,41,4,1
849,11,43,13,0
341,20,14,51,0
1607,12,32,7,0
226,16,14,22,0
1026,8,12,64,0
1351,12,43,3,1
375,16,12,2,1
1442,15,40,9,1
799,12,28,1,0
174,13,8,17,0
823,10,52,10,0
868,17,27,6,0
1354,13,44,75,0
802,22,31,8,1
510,11,21,10,0
381,17,17,2,1
755,15,20,7,0
708,14,59,28,0
1298,13,28,4,1
1044,12,33,11,1
307,11,14,1,1
1010,17,14,5,1
543,7,37,1,1
854,15,35,2,0
289,12,22,15,0
891,24,28,23,0
214,6,17,11,0
256,11,25,9,0
477,18,19,81,0
950,16,37,3,1
1026,23,28,3,1
603,5,23,4,1
531,13,33,10,0
510,11,21,1,0
233,37,10,23,1
1121,14,28,13,0
531,20,17,56,0
393,9,23,13,0
990,14,26,0,0
436,17,9,6,0
730,16,17,17,0
636,9,20,3,0
808,17,30,15,1
802,14,31,8,1
1006,9,27,4,0
608,23,20,6,1
707,25,11,18,1
400,16,23,41,0
708,10,30,24,0
719,14,29,29,0
157,10,9,10,0
170,13,13,28,0
641,7,16,3,1
415,16,11,3,0
1614,19,32,5,1
517,13,19,0,1
892,11,9,7,1
967,14,36,36,0
191,14,8,5,0
119,16,4,9,1
893,13,20,3,1
415,15,11,3,0
1557,17,51,9,1
909,13,26,140,0
909,13,26,6,1
849,23,10,5,1
505,7,45,60,0
202,11,9,3,0
928,11,13,108,0
696,15,19,0,1
1650,12,38,4,0
945,8,21,2,0
1160,8,43,3,0
666,12,29,11,1
655,18,25,1,1
1650,13,38,70,0
165,9,10,2,0
353,9,12,15,0
703,14,18,41,0
329,12,25,3,1
1189,11,24,29,0
471,12,20,2,1
406,5,20,4,0
726,11,18,3,0
383,13,14,4,0
498,9,30,4,0
681,15,14,48,0
343,12,25,4,0
438,15,10,1,1
911,14,13,27,1
638,8,39,1,1
805,9,54,76,0
1823,22,69,3,1
150,17,23,5,1
536,9,21,1,1
387,11,10,2,1
875,21,24,4,0
526,6,26,77,0
896,10,15,11,1
1540,21,396,25,0
837,11,14,14,0
1377,11,32,6,0
1209,24,40,11,0
668,17,22,61,0
452,13,34,40,0
550,15,18,8,0
615,11,14,11,0
753,17,43,54,0
766,18,10,13,0
228,10,15,1,1
478,15,19,61,0
321,15,26,49,1
374,15,21,2,1
1167,9,27,0,1
667,17,15,17,0
1086,12,16,3,1
576,6,29,18,0
536,14,21,2,0
368,15,13,2,1
580,14,22,46,0
696,15,19,2,0
351,11,17,1,1
1349,18,18,0,1
719,13,24,3,1
1196,14,35,0,1
1095,13,21,94,0
1001,16,26,69,0
1135,14,22,0,0
311,10,12,0,1
312,12,7,3,0
335,7,30,0,0
706,16,20,2,1
1062,8,27,3,1
1123,9,92,3,0
815,18,7,2,1
1127,24,33,49,0
432,10,25,5,0
728,10,32,84,0
1033,8,32,7,1
926,12,25,28,0
653,12,22,14,0
208,19,16,3,0
354,14,22,7,0
498,9,30,7,0
174,18,8,10,0
274,7,22,0,0
1209,24,40,9,0
254,12,18,3,0
1717,14,52,62,0
894,18,21,1,0
315,12,12,46,0
1043,11,34,1,1
773,12,19,10,0
294,17,18,0,1
471,9,12,6,1
1171,18,35,0,1
823,10,52,9,0
537,15,12,2,1
948,9,29,41,0
187,14,10,0,0
904,14,28,0,0
1341,18,30,17,1
1772,17,34,0,1
666,9,24,8,0
819,14,26,0,1
951,15,28,13,1
400,9,12,2,0
470,10,16,30,0
932,13,14,191,0
872,13,22,3,1
977,16,15,6,1
168,12,5,14,0
1353,14,25,24,1
422,10,13,2,1
591,19,15,15,1
518,17,12,1,0
858,22,25,20,0
897,17,47,153,0
612,11,20,9,0
1217,13,30,7,1
1139,13,32,60,0
953,9,11,45,0
1234,12,36,27,0
680,24,15,6,1
710,15,15,36,0
1376,18,28,2,1
881,17,19,0,1
422,12,17,4,1
413,12,22,6,1
301,15,9,7,1
452,17,34,9,0
195,8,14,8,1
213,13,19,16,1
923,15,31,7,1
1058,9,33,1,1
806,8,49,50,0
486,16,23,80,0
1954,9,49,47,0
1046,13,21,4,1
517,8,19,0,0
378,11,17,19,0
696,8,14,10,0
174,8,10,6,1
302,8,23,5,1
377,12,13,15,1
170,14,8,5,1
198,17,15,30,0
1128,17,20,18,0
1227,10,39,0,0
1606,13,47,17,1
1013,17,35,33,0
1234,12,48,18,1
568,19,16,0,1
1146,11,20,5,1
400,11,25,1,1
327,11,15,2,1
876,17,28,11,0
417,12,28,0,0
508,13,14,7,1
1217,15,31,10,0
316,14,11,29,0
536,15,19,11,1
792,10,20,0,1
421,11,14,3,1
254,12,18,7,0
1086,12,16,19,0
1280,16,41,101,0
272,11,13,3,1
994,14,34,13,0
1086,13,54,39,0
1127,24,33,3,0
472,14,18,80,0
753,20,43,3,1
264,13,7,15,1
1373,19,22,77,0
401,18,23,2,1
372,10,19,5,0
617,13,22,13,1
758,10,24,8,1
511,19,16,12,1
637,20,36,132,0
1095,28,40,79,0
869,8,45,17,0
631,8,22,17,0
409,12,10,2,1
537,16,12,5,1
810,14,13,9,1
498,8,30,10,0
211,9,8,4,1
925,25,10,3,1
304,16,18,8,1
849,16,43,6,1
321,23,26,19,0
689,10,11,1,1
261,15,14,3,1
351,12,17,69,0
301,18,9,7,1
519,13,12,20,0
706,20,20,2,1
1483,15,33,17,0
828,13,30,4,1
441,11,20,9,1
637,10,16,45,0
677,14,15,17,0
1600,6,31,6,1
577,12,13,1,1
983,18,24,5,1
775,13,10,16,0
598,19,20,37,0
782,16,18,39,0
1083,18,54,14,1
202,16,12,3,1
804,15,21,8,1
1240,13,57,22,0
631,10,22,6,0
990,14,26,14,0
956,14,32,0,1
951,12,28,0,1
195,9,9,2,0
483,16,22,26,0
506,13,17,23,0
650,10,21,13,1
212,16,9,1,1
735,8,29,2,1
465,13,12,3,1
1167,12,27,14,1
1046,18,27,5,1
608,13,15,8,1
1291,24,44,210,0
557,17,21,69,0
353,9,17,2,1
254,14,18,48,0
157,10,9,11,0
703,9,26,1,1
261,15,14,17,0
463,18,32,6,1
1043,16,34,16,0
856,15,15,5,1
280,11,15,1,0
1012,13,38,19,0
1354,8,44,1,1
531,18,17,63,0
316,14,11,33,0
896,12,23,37,0
507,13,24,2,1
677,13,15,50,1
849,16,43,2,1
458,11,9,11,1
1557,17,51,9,1
1209,23,40,7,1
304,14,27,52,0
1298,15,28,4,1
951,12,28,4,1
444,16,18,3,1
1464,11,44,8,1
335,7,30,2,0
994,14,34,12,1
1479,14,30,0,1
536,9,19,1,1
1243,20,41,1,0
730,16,21,4,1
1128,15,20,14,0
785,9,17,27,0
404,13,15,1,1
1954,11,49,2,1
235,5,8,0,1
174,12,10,1,1
770,13,24,14,1
956,12,32,0,1
150,4,11,18,0
1187,18,22,4,1
408,7,12,1,1
492,8,20,12,1
508,13,14,7,1
1190,20,24,31,0
612,11,20,7,1
787,12,28,2,0
470,13,23,67,0
875,12,25,0,1
1180,13,31,3,1
470,14,16,23,0
303,13,10,30,0
220,14,12,2,1
732,13,17,29,0
436,11,9,8,0
728,10,44,95,0
557,16,21,8,0
550,11,19,5,1
344,19,13,26,0
328,13,14,24,0
854,15,35,3,0
1121,18,26,0,1
606,18,13,15,0
637,15,25,3,1
956,14,32,8,1
507,15,24,6,1
413,21,22,18,0
793,14,48,4,1
399,12,13,9,1
441,10,38,2,0
1483,15,33,40,0
846,11,14,19,0
730,16,21,4,0
335,10,10,13,0
1040,23,17,120,0
745,9,39,22,0
1037,15,48,3,1
733,18,22,22,0
307,14,6,2,1
210,10,7,3,0
866,14,22,0,1
799,13,28,9,0
1252,15,34,3,1
472,10,10,3,1
1095,13,21,8,0
703,13,18,22,0
1280,16,41,100,0
517,13,19,14,1
365,17,10,11,0
1171,19,34,0,1
550,15,18,6,1
298,26,16,3,1
773,17,19,10,1
889,13,39,2,1
352,9,14,49,0
274,9,10,30,0
1204,14,29,3,1
1082,15,21,6,1
445,11,23,19,0
359,10,21,22,1
274,11,22,7,0
327,15,15,15,0
1349,18,18,9,0
1277,11,29,2,1
932,10,54,61,0
400,16,23,77,0
1131,13,23,12,1
1128,25,20,0,1
815,18,7,2,1
461,11,23,3,1
513,12,26,32,0
652,19,17,12,0
335,18,30,3,1
746,14,14,5,1
893,15,20,3,1
1940,11,75,3,1
1117,7,10,5,1
1373,19,22,0,0
758,12,20,5,1
300,18,11,12,1
288,12,16,29,0
914,28,24,5,0
281,19,9,7,0
1113,24,20,7,1
788,12,31,5,1
376,15,13,9,1
823,10,52,8,1
1643,13,39,16,0
1121,18,28,6,1
1442,15,40,169,0
322,7,18,8,1
1560,14,55,177,0
212,13,9,27,0
650,10,21,11,0
